    Dens   Wtype     ROC HalfROC     Seq  ROCpin  SiCell      iu      iv       t
      HD       0       2       1      16      52     396      20      18       0
      HD       0       2       1      17      53     397      20      19       0
      HD       0       2       1      18  CALIB1     412      21      18       1
      HD       0       2       1      19      54     429      22      21       0
      HD       0       2       1      20      55     442      23      21       0
      HD       0       2       1      21      56     414      21      20       0
      HD       0       2       1      22      57     443      23      22       0
      HD       0       2       1      23      58     413      21      19       0
      HD       0       2       1      24      59     428      22      20       0
      HD       0       2       1      25      60     411      21      18       0
      HD       0       2       1      26      61     427      22      19       0
      HD       0       2       1      27      62     441      23      20       0
      HD       0       2       1      28      63     439      23      18       0
      HD       0       2       1      29      64     409      21      16       0
      HD       0       2       1      30      65     410      21      17       0
      HD       0       2       1      31      66     425      22      17       0
      HD       0       2       1      32      67     424      22      16       0
      HD       0       2       1      33      68     408      21      15       0
      HD       0       2       1      34      69     438      23      17       0
      HD       0       2       1      35      70     426      22      18       0
      HD       0       2       1      36      71     440      23      19       0
      HD       0       3       0       0       0     295      15      10       0
      HD       0       3       0       1       1     296      15      11       0
      HD       0       3       0       2       2     294      15       9       0
      HD       0       3       0       3       3     316      16      10       0
      HD       0       3       0       4       4     317      16      11       0
      HD       0       3       0       5       5     336      17      11       0
      HD       0       3       0       6       6     338      17      13       0
      HD       0       3       0       7       7     318      16      12       0
      HD       0       3       0       8       8     337      17      12       0
      HD       0       3       0       9       9     341      17      16       0
      HD       0       3       0      10      10     319      16      13       0
      HD       0       3       0      11      11     339      17      14       0
      HD       0       3       0      12      12     340      17      15       0
      HD       0       3       0      13      13     297      15      12       0
      HD       0       3       0      14      14     320      16      14       0
      HD       0       3       0      15      15     321      16      15       0
      HD       0       3       0      16      16     299      15      13       0
      HD       0       3       0      17      17     300      15      14       0
      HD       0       3       0      18  CALIB0     298      15      12       1
      HD       0       3       0      19      18     277      14      13       0
      HD       0       3       0      20      19     275      14      11       0
      HD       0       3       0      21      20     252      13      12       0
      HD       0       3       0      22      21     276      14      12       0
      HD       0       3       0      23      22     228      12      11       0
      HD       0       3       0      24      23     227      12      10       0
      HD       0       3       0      25      24     251      13      11       0
      HD       0       3       0      26      25     250      13      10       0
